語言,代碼
國語,g
閩南,m
金門,j
馬祖,f
四縣,c
海陸,h
大埔,d
饒平,r
詔安,z
長樂,l
阿美,a
泰雅,t
布農,b
卑南,n
排灣,p
英語,e
